Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Amazon URL (product.metafields.custom.amazon_url),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Audio purpose (product.metafields.shopify.audio-purpose),Baby gift items included (product.metafields.shopify.baby-gift-items-included),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Calendar format (product.metafields.shopify.calendar-format),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Cover material (product.metafields.shopify.cover-material),Decoration material (product.metafields.shopify.decoration-material),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Dispenser type (product.metafields.shopify.dispenser-type),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Filler material (product.metafields.shopify.filler-material),Flavor (product.metafields.shopify.flavor),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Neckline (product.metafields.shopify.neckline),Occasion (product.metafields.shopify.occasion),Package type (product.metafields.shopify.package-type),Paint type (product.metafields.shopify.paint-type),Power source (product.metafields.shopify.power-source),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Shape (product.metafields.shopify.shape),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Speaker design (product.metafields.shopify.speaker-design),Speaker features (product.metafields.shopify.speaker-features),Speaker technology (product.metafields.shopify.speaker-technology),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Tableware material (product.metafields.shopify.tableware-material),Target gender (product.metafields.shopify.target-gender),Vase shape (product.metafields.shopify.vase-shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
pure-cashmere-travel-wrap,Pure Cashmere Travel Wrap,"<p><meta charset=""utf-8""><span> This pure cashmere travel wrap is an essential piece you will have for years. The lightweight and breathable knit is perfect for layering with your sweater or as a chic evening wrap or cozy blanket on a long flight. </span></p>
<p><span>* 100% grade A Mongolian cashmere</span></p>
<p><span> * 81"" L x 32"" W</span></p>
<p><span> * Hand wash cold or dry clean </span></p>",Thnk ,Apparel & Accessories > Clothing Accessories,"","",true,Color,Black,,,,,,,,PIS-CASHBLK,226.796185,shopify,deny,manual,238.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/9fb2a19f46f9e0808b0527039eecbb052f0343f82de3572452c9c5da5c1c5594.webp?v=1729889371,1,"",false,,,167,,adult,,,,,,,,,,,adults,,,,,,,,black; beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unisex,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/fbd3bd2ec8724884b8f016588037ed3acc0ecf0a063f4e3f5d5dae9a21a2ebec.webp?v=1729889558,oz,,119.00,true,,,true,,,active
pure-cashmere-travel-wrap,,,,,,,,,Oatmeal,,,,,,,,PIS-CASHOAT,226.796185,shopify,deny,manual,238.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/d5a130ab657f1f103975e2bbb1912486f1ea0d14ec2666c00b263dfee438cf32.webp?v=1729889545,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/d5a130ab657f1f103975e2bbb1912486f1ea0d14ec2666c00b263dfee438cf32.webp?v=1729889545,oz,,119.00,,,,,,,
pure-cashmere-travel-wrap,,,,,,,,,Azure Blue,,,,,,,,PIS-CASHBLU,226.796185,shopify,deny,manual,238.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/fbd3bd2ec8724884b8f016588037ed3acc0ecf0a063f4e3f5d5dae9a21a2ebec.webp?v=1729889558,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/7e1482cb59cb09488db3c5286e834414d0a9080247084d84aa843e84e454eace.webp?v=1729889914,oz,,119.00,,,,,,,
pure-cashmere-travel-wrap,,,,,,,,,Glow Pink,,,,,,,,PIS-CASHPINK,226.796185,shopify,deny,manual,238.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/7e1482cb59cb09488db3c5286e834414d0a9080247084d84aa843e84e454eace.webp?v=1729889914,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/3d943d8cd28a20102508ae1560b4b176967d5d3bf2386d7e4567291844c5ef58_4d4cb398-5a19-482e-a64e-c3e373ee76a4.webp?v=1729890028,oz,,119.00,,,,,,,
pure-cashmere-travel-wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/3d943d8cd28a20102508ae1560b4b176967d5d3bf2386d7e4567291844c5ef58.webp?v=1729890011,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure-cashmere-travel-wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/3d943d8cd28a20102508ae1560b4b176967d5d3bf2386d7e4567291844c5ef58_4d4cb398-5a19-482e-a64e-c3e373ee76a4.webp?v=1729890028,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charcoal-handloom-cashmere-scarf,Charcoal Handloom Cashmere Scarf,"<p><meta charset=""utf-8""><span>Wrap yourself in cashmere! This oversized cashmere scarf is large enough to be worn as a wrap and is the perfect accessory for layering on cold evenings. It is made from Grade A Himalayan cashmere, making it extra soft against your skin. </span></p>
<p><span>These unisex, timeless scarves make great gifts and carry a story you can feel good about! These cashmere scarves and throws are handloomed in Pokhara Nepal by blind, deaf, or disabled weavers, partnering with a local non-profit organization that provides them with the tools, training, and support necessary to become independent through weaving. In Nepal, the disabled are discriminated against in mainstream society. They have little or no opportunities for work. Weaving allows them to enjoy an independent life, increases their self-esteem, and also improves the way they are treated by their family. </span></p>
<p><span>Material: 100% Himalayan cashmere</span></p>
<p><span>Ethically Sourced + Fair Trade + made in Nepal </span></p>
<p><span>Plastic-free materials and Plastic-free and Recyclable Packaging</span></p>",Thnk ,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,"","",true,Title,Default Title,,,,,,,,196704543414,198.446661875,shopify,deny,manual,120.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/642041b9d328d4484540b6c416c9377392edeecfab99c22c809970e372a5fd26.webp?v=1729888695,1,"",false,,,177,,adult,,,,,,,,,,,adults,,,,,,,,gray,,,,,,,,,,cashmere,,,,,,,,,,,,regular,,,,,,,,,,,,,unisex,,,oz,,60.00,true,,,true,,,active
charcoal-handloom-cashmere-scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/d0db8f86116a3285bdafeacca9290e03e2671a9316b1f3ba78b84e91bd6d3c21.webp?v=1729888704,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andes-snow-baby-alpaca-scarf,Andes Snow Baby Alpaca Scarf,"<p><meta charset=""utf-8""><span>This unisex baby alpaca scarf can be worn in multiple ways and is the perfect accessory for layering on cold evenings. Alpaca fiber is considered by the fashion industry to be one of the greenest, most natural, and luxurious fibers in the world. This fiber comes from small artisanal farmers in the Peruvian highlands who work by traditional farming methods and a close eye is kept on sustainability. </span></p>
<p><span>In the earliest Peruvian history, you will find examples of the bond between the Incas and alpaca. The Incas placed a higher value on alpaca fiber than gold or silver. The knowledge and craftsmanship of spinning and knitting have been passed down from generation to generation, resulting in the rich, diverse textile heritage of Peru. New patterns are combined with traditional methods, giving an innovative touch without losing the ethical heritage. </span></p>
<p><span>Material: 100% Baby Alpaca </span></p>
<p><span>Measurements: L 67"" x W 21""+ fringe </span></p>
<p><span>Ethically Sourced + Fair Trade + made in Peru.</span></p>",Thnk ,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,"","",true,Title,Default Title,,,,,,,,196704542226,141.747615625,shopify,deny,manual,112.00,,true,true,"",https://cdn.shopify.com/s/files/1/0659/1450/3415/files/4a9c6c40af90fbf74646426a0fcb079433d2b9e17192fd8b18a36973550ed84d.webp?v=1729888343,1,"",false,,,177,,adult,,,,,,,,,,,adults,,,,,,,,beige,,,,,,,,,,wool,,,,,,,,,,,,regular,,,,,,,,,,,,,unisex,,,oz,,56.00,true,,,true,,,active
andes-snow-baby-alpaca-scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0659/1450/3415/files/121ef26776011607c07bd5873585e57ccf0949e9ba6d4eee09a1fa6a25061eac.webp?v=1729888349,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
